"Sample","Glikoliz","TCA_Dongusu","Lipid_Sentezi","Nukleotit","Cancer"
"TCGA-IB-AAUP-01A",3.80938968650597,3.69205327110812,3.62469237706752,3.50345346189645,"PAAD"
"TCGA-3A-A9IS-01A",3.46814701582664,3.62396285097048,3.66164443275544,3.36161567435066,"PAAD"
"TCGA-HZ-7924-01A",3.90442960157408,3.85423265091286,3.75934441970528,3.61848495609796,"PAAD"
"TCGA-3A-A9I7-01A",3.82364864474958,3.75350166209835,3.63298120648411,3.44777309003661,"PAAD"
"TCGA-2J-AABP-01A",3.82309960229469,3.72391138121471,3.58277170524972,3.55048915322142,"PAAD"
"TCGA-HV-A7OL-01A",3.85891244087067,3.65537564236264,3.5105068027042,3.40662445913908,"PAAD"
"TCGA-F2-6879-01A",3.9163825680917,3.76405517586758,3.72571482917683,3.57062507316765,"PAAD"
"TCGA-FB-A4P6-01A",3.68846877561038,3.60371882652088,3.59626077603369,3.2776199759207,"PAAD"
"TCGA-HV-A7OP-01A",3.55741765235347,3.5400437019629,3.33823398760771,3.19149398277642,"PAAD"
"TCGA-HZ-7922-01A",3.89285218517552,3.70051959488549,3.68302797600909,3.50047303884664,"PAAD"
"TCGA-FB-AAPU-01A",3.935827624822,3.78046444740601,3.66744348152043,3.57106413909049,"PAAD"
"TCGA-H6-8124-11A",3.77120507172953,3.75086063919929,3.67842041354925,3.40227312853163,"PAAD"
"TCGA-3A-A9IX-01A",3.77263860334665,3.70966032223062,3.680982686333,3.4152553509643,"PAAD"
"TCGA-HZ-8317-01A",3.80309065650226,3.7215573538318,3.66088229979032,3.50014121118634,"PAAD"
"TCGA-3A-A9J0-01A",3.9072101046357,3.70660836183548,3.70672924379577,3.47501908655106,"PAAD"
"TCGA-FB-A4P5-01A",3.71364756042059,3.6119492926644,3.66219884439667,3.38037660502859,"PAAD"
"TCGA-3E-AAAZ-01A",3.85975916537577,3.76316784791373,3.69055256135439,3.52268776596168,"PAAD"
"TCGA-3E-AAAY-01A",3.81810137306817,3.70561968041292,3.62903220947415,3.39742251249056,"PAAD"
"TCGA-L1-A7W4-01A",3.99198094490988,3.73019793817623,3.6588419210492,3.58424090191303,"PAAD"
"TCGA-H6-8124-01A",3.95244891240153,3.707417409178,3.58602089651018,3.501910032377,"PAAD"
"TCGA-2L-AAQI-01A",3.90532221428186,3.72445414945467,3.63457299600564,3.42494600429087,"PAAD"
"TCGA-HZ-A8P0-01A",3.81440046609001,3.66150091724323,3.60824404796944,3.39610609036909,"PAAD"
"TCGA-3A-A9I5-01A",3.79082654363343,3.6918628936833,3.55375834460136,3.40471708847899,"PAAD"
"TCGA-YB-A89D-01A",3.87434749264427,3.67990407037242,3.64592924898598,3.36907766429418,"PAAD"
"TCGA-2J-AABH-01A",3.88938002964165,3.69286204887393,3.64003160835624,3.46553993166094,"PAAD"
"TCGA-IB-7646-01A",3.83696601303232,3.70438628853988,3.56463657440306,3.48100192023309,"PAAD"
"TCGA-US-A776-01A",3.83625811560975,3.71712774121198,3.61962465975579,3.55500064794678,"PAAD"
"TCGA-IB-A5SO-01A",3.87945829857392,3.72101516682016,3.67933610171264,3.44999671355701,"PAAD"
"TCGA-FB-AAQ0-01A",3.90299698149077,3.63675889607595,3.55352580691071,3.41853885870281,"PAAD"
"TCGA-YB-A89D-11A",3.87929031992922,3.69258395029989,3.7655445687255,3.37368466794261,"PAAD"
"TCGA-RB-AA9M-01A",3.82974014394106,3.70155794532161,3.66404762360823,3.4576085562716,"PAAD"
"TCGA-IB-A5SP-01A",3.8801898985705,3.74558895349665,3.63219038167558,3.45965327481923,"PAAD"
"TCGA-HZ-A77Q-01A",3.82794370796997,3.64359664945899,3.61625416334734,3.37180006867225,"PAAD"
"TCGA-IB-7654-01A",3.84486403795555,3.76997346203186,3.75053322648942,3.45477812662267,"PAAD"
"TCGA-3A-A9IN-01A",3.60705253136573,3.5954583799819,3.68419717849534,3.25996803215582,"PAAD"
"TCGA-3A-A9IV-01A",3.77168142102166,3.65754225800983,3.60932639819029,3.35743492262934,"PAAD"
"TCGA-3A-A9IR-01A",3.64810836083258,3.76015858020174,3.56184477814438,3.36045708720589,"PAAD"
"TCGA-IB-AAUV-01A",3.79653728010125,3.68457925002667,3.65951496472858,3.39064155164625,"PAAD"
"TCGA-HZ-7289-01A",3.92532143735269,3.7486553900662,3.55100503355459,3.4787564467361,"PAAD"
"TCGA-FB-AAPP-01A",3.7448503010368,3.70060200870604,3.49522423079433,3.46906218047027,"PAAD"
"TCGA-IB-A7LX-01A",3.94483944022181,3.68046733232678,3.56377369858978,3.4822012219784,"PAAD"
"TCGA-IB-A7M4-01A",3.87665983207882,3.68325599092978,3.62449766621359,3.45477083035274,"PAAD"
"TCGA-3A-A9IO-01A",3.56572649449322,3.65085874244491,3.74224016163481,3.22553719983693,"PAAD"
"TCGA-US-A779-01A",3.81642825435849,3.69685241136877,3.55857317197735,3.4008273848382,"PAAD"
"TCGA-2L-AAQE-01A",3.89426125995824,3.69143949616014,3.57332523489534,3.4717086251992,"PAAD"
"TCGA-FB-AAQ6-01A",3.77124058831699,3.59157317620766,3.43335480797084,3.28933564508779,"PAAD"
"TCGA-2J-AABK-01A",3.85605817439421,3.71585993975627,3.62223802141251,3.45426338300393,"PAAD"
"TCGA-HZ-8519-01A",3.85412887111885,3.7873109186472,3.83641506342194,3.51533599485208,"PAAD"
"TCGA-HV-AA8X-01A",3.88580460659838,3.76387985144113,3.63198771017749,3.52733230263079,"PAAD"
"TCGA-IB-AAUM-01A",3.6628607324022,3.63455819382549,3.56309584338626,3.28272405486334,"PAAD"
"TCGA-H8-A6C1-01A",3.79491601199042,3.67868630862167,3.61582917971731,3.45929057677164,"PAAD"
"TCGA-RL-AAAS-01A",3.76536654405272,3.68743701837876,3.59437229888292,3.41999507663848,"PAAD"
